symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 03/20/26 C120 Equity,120.0,1.147081,144.53,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.328737925343754,0.9900635231657041
AAPL US 03/20/26 C125 Equity,125.0,1.1240999999999999,139.5,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.2516131469275034,0.9878266352383919
AAPL US 03/20/26 C130 Equity,130.0,1.085366,126.91,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.212369958003352,0.9865294435506091
AAPL US 03/20/26 C135 Equity,135.0,1.093182,129.2,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.0697063708964007,0.9807600751051592
AAPL US 03/20/26 C140 Equity,140.0,0.886348,135.81,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,2.468285071197358,0.9932118923282559
AAPL US 03/20/26 C145 Equity,145.0,0.8944676,129.48,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.302100260086537,0.9893352406164232
AAPL US 03/20/26 C155 Equity,155.0,0.8539843,109.99,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.140649940688383,0.9838488608839526
AAPL US 03/20/26 C160 Equity,160.0,0.8209303,106.03,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.096496821928234,0.9819809292258526
AAPL US 03/20/26 C165 Equity,165.0,0.6513062,94.85,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,2.524731514004881,0.994210664443326
AAPL US 03/20/26 C170 Equity,170.0,0.7509779000000001,109.43,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.020485564723201,0.9783334770083408
AAPL US 03/20/26 C175 Equity,175.0,0.6615134,90.75,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.1619194784901783,0.984687808340663
AAPL US 03/20/26 C180 Equity,180.0,0.6637278000000001,85.17,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,2.0009671782902836,0.9773020364619461
AAPL US 03/20/26 C185 Equity,185.0,0.6440065,81.85,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.9141266340789576,0.9721980114384682
AAPL US 03/20/26 C190 Equity,190.0,0.601357,73.08,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.9019389387956023,0.9714104310933819
AAPL US 03/20/26 C195 Equity,195.0,0.4289005,70.23,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.5050416538030715,0.9938781513347987
